profession_id,gender_0_acc,gender_1_acc,abs_gap,n_gender_0,n_gender_1
12,0.0,0.52,0.52,14,50
25,0.5425531914893617,0.25,0.29255319148936165,94,20
1,0.33962264150943394,0.16666666666666666,0.17295597484276728,53,18
9,0.5945945945945946,0.42857142857142855,0.16602316602316608,37,14
26,0.32608695652173914,0.4880952380952381,0.16200828157349895,46,84
14,0.4230769230769231,0.2727272727272727,0.15034965034965037,26,22
13,0.6,0.746268656716418,0.14626865671641798,10,134
24,0.023809523809523808,0.14285714285714285,0.11904761904761904,42,7
22,0.4523809523809524,0.5308641975308642,0.07848324514991184,42,81
19,0.7423312883435583,0.8162162162162162,0.07388492787265788,163,185
